source_task_id,repo_task_id,epic_id,status,source_priority,source_phase,source_area,original_depends_on,converted_depends_on,unresolved_dependency_notes,acceptance_gate,source_title,source_lineage,active_disposition,canonical_task_refs
QD-P10-B,TASK-0361,EPIC-149,TODO,P1,P10,refactoring,P10 implementation slices,,P10 implementation slices,QG-06;QG-12,P10 stabilization/refactor pass,capex_v6,active_task,
QD-P10-C,TASK-0362,EPIC-149,TODO,P0,P10,quality gates,P10 gates,,P10 gates,QG-08;QG-11;QG-12,P10 phase closeout evidence,capex_v6,active_task,
QD-P11-A,TASK-0363,EPIC-149,TODO,P1,P11,phase quality,prior phase closeout,,prior phase closeout,QG-00;QG-01;QG-02,P11 phase preflight quality review,capex_v6,active_task,
QD-P11-B,TASK-0364,EPIC-149,TODO,P1,P11,refactoring,P11 implementation slices,,P11 implementation slices,QG-06;QG-12,P11 stabilization/refactor pass,capex_v6,active_task,
QD-P11-C,TASK-0365,EPIC-149,TODO,P1,P11,quality gates,P11 gates,,P11 gates,QG-08;QG-11;QG-12,P11 phase closeout evidence,capex_v6,active_task,
QD-P12-A,TASK-0366,EPIC-149,TODO,P1,P12,phase quality,prior phase closeout,,prior phase closeout,QG-00;QG-01;QG-02,P12 phase preflight quality review,capex_v6,active_task,
QD-P12-B,TASK-0367,EPIC-149,TODO,P1,P12,refactoring,P12 implementation slices,,P12 implementation slices,QG-06;QG-12,P12 stabilization/refactor pass,capex_v6,active_task,
QD-P12-C,TASK-0368,EPIC-149,TODO,P1,P12,quality gates,P12 gates,,P12 gates,QG-08;QG-11;QG-12,P12 phase closeout evidence,capex_v6,active_task,
RF-001,TASK-0369,EPIC-139,DONE,P0,P2,refactoring/domain extraction,phase preflight and safety net,,phase preflight and safety net,QG-06;QG-07;QG-08,Approval side-effect extraction,capex_v6,active_task,
RF-002,TASK-0370,EPIC-139,DONE,P1,P2,refactoring/domain extraction,phase preflight and safety net,,phase preflight and safety net,QG-06;QG-07;QG-08,Domain workpage descriptor registry,capex_v6,active_task,
RF-003,TASK-0371,EPIC-140,DONE,P0,P3,refactoring/source-of-truth hardening,phase preflight and safety net,,phase preflight and safety net,QG-06;QG-07;QG-08,Project-scope query helper,capex_v6,active_task,
RF-004,TASK-0372,EPIC-141,DONE,P0,P5,refactoring/query/projection refactor,phase preflight and safety net,,phase preflight and safety net,QG-06;QG-07;QG-08,Artifact list pagination adapter,capex_v6,active_task,
RF-005,TASK-0373,EPIC-141,DONE,P0,P5,refactoring/query/projection refactor,phase preflight and safety net,,phase preflight and safety net,QG-06;QG-07;QG-08,Batch relation hydration,capex_v6,active_task,
RF-006,TASK-0374,EPIC-141,DONE,P0,P5,refactoring/adapter boundary creation,phase preflight and safety net,,phase preflight and safety net,QG-06;QG-07;QG-08,Bulk ingest adapter seam,capex_v6,active_task,
RF-007,TASK-0375,EPIC-142,TODO,P0,P6,refactoring/source-of-truth hardening,phase preflight and safety net,,phase preflight and safety net,QG-06;QG-07;QG-08,Generated artifact helper migration,capex_v6,active_task,
RF-008,TASK-0376,EPIC-142,TODO,P0,P9,refactoring/source-of-truth hardening,phase preflight and safety net,,phase preflight and safety net,QG-06;QG-07;QG-08,Pointer promotion validator isolation,capex_v6,active_task,
RF-009,TASK-0377,EPIC-144,TODO,P0,P8,refactoring/workpage projection cleanup,phase preflight and safety net,,phase preflight and safety net,QG-06;QG-07;QG-08,Workpage projection/command split,capex_v6,active_task,
RF-010,TASK-0378,EPIC-145,TODO,P0,P4/P4A,refactoring/adapter boundary creation,phase preflight and safety net,,phase preflight and safety net,QG-06;QG-07;QG-08,Fixture quarantine utility,capex_v6,active_task,
RF-011,TASK-0379,EPIC-150,TODO,P1,P10/P11,refactoring/scaffold retirement,phase preflight and safety net,,phase preflight and safety net,QG-06;QG-07;QG-08,Feature flag retirement register,capex_v6,active_task,
RF-012,TASK-0380,EPIC-150,TODO,P1,P11,refactoring/documentation cleanup,phase preflight and safety net,,phase preflight and safety net,QG-06;QG-07;QG-08,Docs route/status cleanup,capex_v6,active_task,
ARCH-W1-T001,TASK-0381,EPIC-140,DONE,P0/P1,P3/P4 Foundation,platform/domain/project/storage,architecture CED accepted,,architecture CED accepted,W1-accepted-gates + semantic MR gate,Create capex_platform/domain_runtime skeleton,capex_v6,active_task,
ARCH-W1-T002,TASK-0382,EPIC-140,DONE,P0/P1,P3/P4 Foundation,platform/domain/project/storage,architecture CED accepted,,architecture CED accepted,W1-accepted-gates + semantic MR gate,Inventory logistics domain manifest in ready state,capex_v6,active_task,
ARCH-W1-T003,TASK-0383,EPIC-140,DONE,P0/P1,P3/P4 Foundation,platform/domain/project/storage,architecture CED accepted,,architecture CED accepted,W1-accepted-gates + semantic MR gate,Create CAPEX domain manifest in not-ready/incubation state,capex_v6,active_task,
ARCH-W1-T004,TASK-0384,EPIC-140,DONE,P0/P1,P3/P4 Foundation,platform/domain/project/storage,architecture CED accepted,,architecture CED accepted,W1-accepted-gates + semantic MR gate,Extract generic approval side effects behind registry in shadow mode,capex_v6,active_task,
ARCH-W1-T005,TASK-0385,EPIC-140,DONE,P0/P1,P3/P4 Foundation,platform/domain/project/storage,architecture CED accepted,,architecture CED accepted,W1-accepted-gates + semantic MR gate,Design capex_project and membership schema CED,capex_v6,active_task,
ARCH-W1-T006,TASK-0386,EPIC-140,DONE,P0/P1,P3/P4 Foundation,platform/domain/project/storage,architecture CED accepted,,architecture CED accepted,W1-accepted-gates + semantic MR gate,Implement AuthorizedProjectsQuery prototype and tests,capex_v6,active_task,
ARCH-W1-T007,TASK-0387,EPIC-140,DONE,P0/P1,P3/P4 Foundation,platform/domain/project/storage,architecture CED accepted,,architecture CED accepted,W1-accepted-gates + semantic MR gate,Design storage/blob custody schema CED,capex_v6,active_task,
ARCH-W1-T008,TASK-0388,EPIC-140,DONE,P0/P1,P3/P4 Foundation,platform/domain/project/storage,architecture CED accepted,,architecture CED accepted,W1-accepted-gates + semantic MR gate,Create pilot storage gate checklist,capex_v6,active_task,
ARCH-W1-T009,TASK-0389,EPIC-140,DONE,P0/P1,P3/P4 Foundation,platform/domain/project/storage,architecture CED accepted,,architecture CED accepted,W1-accepted-gates + semantic MR gate,Add architecture snippets and code pattern register,capex_v6,active_task,
ARCH-W1-T010,TASK-0390,EPIC-140,DONE,P0/P1,P3/P4 Foundation,platform/domain/project/storage,architecture CED accepted,,architecture CED accepted,W1-accepted-gates + semantic MR gate,W1 closeout review and old-decision update,capex_v6,active_task,
ARCH-W2-S01,TASK-0391,EPIC-141,DONE,P0,P4/P5 Corpus and effects,corpus/effects/artifacts/validation,W1 project_id and BlobRef,,W1 project_id and BlobRef,W2-accepted-gates + semantic MR gate,Create content_identity and capex_source_occurrence runtime schema,capex_v6,active_task,
ARCH-W2-S02,TASK-0392,EPIC-141,DONE,P0,P4/P5 Corpus and effects,corpus/effects/artifacts/validation,W2-S01,TASK-0391,W2-S01,W2-accepted-gates + semantic MR gate,Add source_occurrence_relation with duplicate/archive/derivative/redaction relation types,capex_v6,active_task,
ARCH-W2-S03,TASK-0393,EPIC-141,DONE,P0,P4/P5 Corpus and effects,corpus/effects/artifacts/validation,W2-S01,TASK-0391,W2-S01,W2-accepted-gates + semantic MR gate,"Add ingest_batch, ingest_job, ingest_attempt, ingest_job_log state model",capex_v6,active_task,
ARCH-W2-S04,TASK-0394,EPIC-141,DONE,P0,P4/P5 Corpus and effects,corpus/effects/artifacts/validation,W2-S02/S03,TASK-0392;TASK-0393,W2-S02/S03,W2-accepted-gates + semantic MR gate,Add archive lineage support and nested-archive extraction metadata contract,capex_v6,active_task,
ARCH-W2-S05,TASK-0395,EPIC-141,DONE,P1,P4/P5 Corpus and effects,corpus/effects/artifacts/validation,W2-S01/S02,TASK-0391;TASK-0392,W2-S01/S02,W2-accepted-gates + semantic MR gate,Add manifest_generation attestation model for generated corpus registers,capex_v6,active_task,
ARCH-W2-S06,TASK-0396,EPIC-141,TODO,P0,P4/P5 Corpus and effects,corpus/effects/artifacts/validation,PR000-PR007,TASK-0233;TASK-0234;TASK-0235;TASK-0236;TASK-0237;TASK-0238;TASK-0239;TASK-0240,,W2-accepted-gates + semantic MR gate,Implement CommandReceipt canonical input hash and corrupted-idempotency rejection,capex_v6,active_task,
ARCH-W2-S07,TASK-0397,EPIC-141,TODO,P0,P4/P5 Corpus and effects,corpus/effects/artifacts/validation,W2-S06,,W2-S06,W2-accepted-gates + semantic MR gate,Implement EffectLedger and guarded mutation helper,capex_v6,active_task,
ARCH-W2-S08,TASK-0398,EPIC-141,TODO,P0,P4/P5 Corpus and effects,corpus/effects/artifacts/validation,W2-S06,,W2-S06,W2-accepted-gates + semantic MR gate,Split ToolExecution from ToolExecutionAttempt with lease-token stale completion rejection,capex_v6,active_task,
ARCH-W2-S09,TASK-0399,EPIC-141,TODO,P0,P4/P5 Corpus and effects,corpus/effects/artifacts/validation,W1 project root,,W1 project root,W2-accepted-gates + semantic MR gate,Add ProjectConcurrencyPolicy and ProjectRuntimeSlot minimal implementation,capex_v6,active_task,
ARCH-W2-S10,TASK-0400,EPIC-141,TODO,P1,P4/P5 Corpus and effects,corpus/effects/artifacts/validation,W2-S06/S07,,W2-S06/S07,W2-accepted-gates + semantic MR gate,Add RuntimeOutbox after-commit dispatch scaffold,capex_v6,active_task,
ARCH-W2-S11,TASK-0401,EPIC-141,TODO,P0,P4/P5 Corpus and effects,corpus/effects/artifacts/validation,W2-S06,,W2-S06,W2-accepted-gates + semantic MR gate,Define ArtifactVersionIdentityContract and add identity fields,capex_v6,active_task,
ARCH-W2-S12,TASK-0402,EPIC-141,TODO,P0,P4/P5 Corpus and effects,corpus/effects/artifacts/validation,W2-S11/W2-S16,,W2-S11/W2-S16,W2-accepted-gates + semantic MR gate,Harden ArtifactProvenanceEdge as runtime-computed immutable typed edge,capex_v6,active_task,
ARCH-W2-S13,TASK-0403,EPIC-141,TODO,P0,P4/P5 Corpus and effects,corpus/effects/artifacts/validation,W2-S06/W2-S11,,W2-S06/W2-S11,W2-accepted-gates + semantic MR gate,Define ArtifactPointerEvent and PointerFamilyPolicy minimal schema,capex_v6,active_task,
ARCH-W2-S14,TASK-0404,EPIC-141,TODO,P0,P4/P5 Corpus and effects,corpus/effects/artifacts/validation,W2-S07/W2-S13/W2-S16,,W2-S07/W2-S13/W2-S16,W2-accepted-gates + semantic MR gate,Implement PointerPromotionService guarded transaction,capex_v6,active_task,
ARCH-W2-S15,TASK-0405,EPIC-141,TODO,P0,P4/P5 Corpus and effects,corpus/effects/artifacts/validation,W2-S11,,W2-S11,W2-accepted-gates + semantic MR gate,Define SubmittedGeneratedArtifact and RuntimeGeneratedArtifactView schemas,capex_v6,active_task,
ARCH-W2-S16,TASK-0406,EPIC-141,TODO,P0,P4/P5 Corpus and effects,corpus/effects/artifacts/validation,W2-S15,,W2-S15,W2-accepted-gates + semantic MR gate,Implement ValidationRun / ValidationItem vector contract,capex_v6,active_task,
ARCH-W2-S17,TASK-0407,EPIC-141,TODO,P0,P4/P5 Corpus and effects,corpus/effects/artifacts/validation,W2-S01/W2-S12/W2-S16,,W2-S01/W2-S12/W2-S16,W2-accepted-gates + semantic MR gate,Implement sourceRef resolver and edge-emission contract,capex_v6,active_task,
ARCH-W2-S18,TASK-0408,EPIC-141,TODO,P0,P4/P5 Corpus and effects,corpus/effects/artifacts/validation,W2-S15,,W2-S15,W2-accepted-gates + semantic MR gate,Add canonicalization profile and hash test vectors,capex_v6,active_task,
ARCH-W2-S19,TASK-0409,EPIC-141,TODO,P0,P4/P5 Corpus and effects,corpus/effects/artifacts/validation,W2-S06-S18,,W2-S06-S18,W2-accepted-gates + semantic MR gate,Create Wave 2 crash/stale-basis test suite,capex_v6,active_task,
ARCH-W2-S20,TASK-0410,EPIC-141,TODO,P1,P4/P5 Corpus and effects,corpus/effects/artifacts/validation,All W2 slices,,All W2 slices,W2-accepted-gates + semantic MR gate,Wave 2 docs/catalog/refactor closeout,capex_v6,active_task,
ARCH-W3-S001,TASK-0411,EPIC-141,TODO,P0/P1,P6 Extraction and evidence,extraction/search/evidence,W1 project/storage; W2 source_document_version/effect ledger,,W1 project/storage; W2 source_document_version/effect ledger,W3-accepted-gates + semantic MR gate,Design extraction_run physical schema,capex_v6,active_task,
ARCH-W3-S002,TASK-0412,EPIC-141,TODO,P0/P1,P6 Extraction and evidence,extraction/search/evidence,W3-S001,,W3-S001,W3-accepted-gates + semantic MR gate,Implement parser_config_hash helper,capex_v6,active_task,
ARCH-W3-S003,TASK-0413,EPIC-141,TODO,P0/P1,P6 Extraction and evidence,extraction/search/evidence,W3-S001; W2 effect ledger,,W3-S001; W2 effect ledger,W3-accepted-gates + semantic MR gate,Extraction state machine,capex_v6,active_task,
ARCH-W3-S004,TASK-0414,EPIC-141,TODO,P0/P1,P6 Extraction and evidence,extraction/search/evidence,W3-S001,,W3-S001,W3-accepted-gates + semantic MR gate,Extraction asset bundle manifest,capex_v6,active_task,
ARCH-W3-S005,TASK-0415,EPIC-141,TODO,P0/P1,P6 Extraction and evidence,extraction/search/evidence,W2 source occurrence,,W2 source occurrence,W3-accepted-gates + semantic MR gate,Source occurrence locator union,capex_v6,active_task,
ARCH-W3-S006,TASK-0416,EPIC-141,TODO,P0/P1,P6 Extraction and evidence,extraction/search/evidence,W3-S005,,W3-S005,W3-accepted-gates + semantic MR gate,Source occurrence resolver adapter,capex_v6,active_task,
ARCH-W3-S007,TASK-0417,EPIC-141,TODO,P0/P1,P6 Extraction and evidence,extraction/search/evidence,W3-S001/W3-S005,,W3-S001/W3-S005,W3-accepted-gates + semantic MR gate,Chunk projection generation schema,capex_v6,active_task,
ARCH-W3-S008,TASK-0418,EPIC-141,TODO,P0/P1,P6 Extraction and evidence,extraction/search/evidence,W3-S007,,W3-S007,W3-accepted-gates + semantic MR gate,Search projection generation schema,capex_v6,active_task,
ARCH-W3-S009,TASK-0419,EPIC-141,TODO,P0/P1,P6 Extraction and evidence,extraction/search/evidence,W3-S008,,W3-S008,W3-accepted-gates + semantic MR gate,Retrieval candidate persistence,capex_v6,active_task,
ARCH-W3-S010,TASK-0420,EPIC-141,TODO,P0/P1,P6 Extraction and evidence,extraction/search/evidence,W3-S005/W3-S009,,W3-S005/W3-S009,W3-accepted-gates + semantic MR gate,Evidence binding schema/status model,capex_v6,active_task,
ARCH-W3-S011,TASK-0421,EPIC-141,TODO,P0/P1,P6 Extraction and evidence,extraction/search/evidence,W3-S010; HumanTask substrate,,W3-S010; HumanTask substrate,W3-accepted-gates + semantic MR gate,Evidence review task command,capex_v6,active_task,
ARCH-W3-S012,TASK-0422,EPIC-141,TODO,P0/P1,P6 Extraction and evidence,extraction/search/evidence,W3-S003/W3-S010,,W3-S003/W3-S010,W3-accepted-gates + semantic MR gate,Partial extraction policy gate,capex_v6,active_task,
ARCH-W3-S013,TASK-0423,EPIC-141,TODO,P0/P1,P6 Extraction and evidence,extraction/search/evidence,W3-S009/W3-S010,,W3-S009/W3-S010,W3-accepted-gates + semantic MR gate,Fuzzy grounding candidate gate,capex_v6,active_task,
ARCH-W3-S014,TASK-0424,EPIC-141,TODO,P0/P1,P6 Extraction and evidence,extraction/search/evidence,W3-S007/W3-S008/W3-S010,,W3-S007/W3-S008/W3-S010,W3-accepted-gates + semantic MR gate,Projection rebuild invariance test suite,capex_v6,active_task,
ARCH-W3-S015,TASK-0425,EPIC-141,TODO,P0/P1,P6 Extraction and evidence,extraction/search/evidence,W3-S010; later DR-08 workpages,,W3-S010; later DR-08 workpages,W3-accepted-gates + semantic MR gate,Evidence side-panel projection contract,capex_v6,active_task,
ARCH-W3-S016,TASK-0426,EPIC-141,TODO,P0/P1,P6 Extraction and evidence,extraction/search/evidence,DR-11; W3-S010,,DR-11; W3-S010,W3-accepted-gates + semantic MR gate,Sanitized fixture evidence-lineage enforcement,capex_v6,active_task,
ARCH-W3-S017,TASK-0427,EPIC-141,TODO,P0/P1,P6 Extraction and evidence,extraction/search/evidence,W3-S003/W3-S004,,W3-S003/W3-S004,W3-accepted-gates + semantic MR gate,Extraction QA report artifact,capex_v6,active_task,
ARCH-W3-S018,TASK-0428,EPIC-141,TODO,P0/P1,P6 Extraction and evidence,extraction/search/evidence,W3-S010; W2 validation vector,,W3-S010; W2 validation vector,W3-accepted-gates + semantic MR gate,SourceRef resolution validation vector,capex_v6,active_task,
ARCH-W4-S01,TASK-0429,EPIC-142,TODO,P0/P1,P8 Governance and closure,approval/policy/closure/stale,W2 CommandReceipt,,W2 CommandReceipt,W4-accepted-gates + semantic MR gate,Create CED and schema draft for ApprovalResponse and approval.respond domain neutrality.,capex_v6,active_task,
ARCH-W4-S02,TASK-0430,EPIC-142,TODO,P0/P1,P8 Governance and closure,approval/policy/closure/stale,W4-S01,,W4-S01,W4-accepted-gates + semantic MR gate,Implement ApprovalResponse append-only record and TimelineEvent emission.,capex_v6,active_task,
ARCH-W4-S03,TASK-0431,EPIC-142,TODO,P0/P1,P8 Governance and closure,approval/policy/closure/stale,logistics cleanup,,logistics cleanup,W4-accepted-gates + semantic MR gate,Extract generic approval side-effect hooks into explicit domain hook registry with capability allowlist.,capex_v6,active_task,
ARCH-W4-S04,TASK-0432,EPIC-142,TODO,P0/P1,P8 Governance and closure,approval/policy/closure/stale,project authorization,,project authorization,W4-accepted-gates + semantic MR gate,Implement Waiver object and lifecycle.,capex_v6,active_task,
ARCH-W4-S05,TASK-0433,EPIC-142,TODO,P0/P1,P8 Governance and closure,approval/policy/closure/stale,W4-S04,,W4-S04,W4-accepted-gates + semantic MR gate,Implement waiver scope matcher and expiry/revocation checks.,capex_v6,active_task,
ARCH-W4-S06,TASK-0434,EPIC-142,TODO,P0/P1,P8 Governance and closure,approval/policy/closure/stale,W4-S04,,W4-S04,W4-accepted-gates + semantic MR gate,Implement PolicyDecision and PolicyDecisionRuleResult with severity/mode and satisfied_by_waiver.,capex_v6,active_task,
ARCH-W4-S07,TASK-0435,EPIC-142,TODO,P0/P1,P8 Governance and closure,approval/policy/closure/stale,W4-S06,,W4-S06,W4-accepted-gates + semantic MR gate,Implement local policy evaluator trace with input digest and redacted snapshot references.,capex_v6,active_task,
ARCH-W4-S08,TASK-0436,EPIC-142,TODO,P0/P1,P8 Governance and closure,approval/policy/closure/stale,W3 evidence_binding,,W3 evidence_binding,W4-accepted-gates + semantic MR gate,Implement ClosureGateEvaluation object.,capex_v6,active_task,
ARCH-W4-S09,TASK-0437,EPIC-142,TODO,P0/P1,P8 Governance and closure,approval/policy/closure/stale,W4-S08,,W4-S08,W4-accepted-gates + semantic MR gate,Implement closure evaluator for initial K12 dimensions.,capex_v6,active_task,
ARCH-W4-S10,TASK-0438,EPIC-142,TODO,P0/P1,P8 Governance and closure,approval/policy/closure/stale,W4-S08,,W4-S08,W4-accepted-gates + semantic MR gate,Implement ClosureSnapshot append-only record with basis_version_vector.,capex_v6,active_task,
ARCH-W4-S11,TASK-0439,EPIC-142,TODO,P0/P1,P8 Governance and closure,approval/policy/closure/stale,"W4-S10,W2 CommandReceipt",,"W4-S10,W2 CommandReceipt",W4-accepted-gates + semantic MR gate,Implement close command chain from PolicyDecision to ClosureSnapshot.,capex_v6,active_task,
ARCH-W4-S12,TASK-0440,EPIC-142,TODO,P0/P1,P8 Governance and closure,approval/policy/closure/stale,"W4-S10,W4 waiver",,"W4-S10,W4 waiver",W4-accepted-gates + semantic MR gate,Implement force_close_with_residuals path.,capex_v6,active_task,
ARCH-W4-S13,TASK-0441,EPIC-142,TODO,P0/P1,P8 Governance and closure,approval/policy/closure/stale,W2/W3 basis models,,W2/W3 basis models,W4-accepted-gates + semantic MR gate,Implement ClosureBasisRef for delayed callbacks and workpage commands.,capex_v6,active_task,
ARCH-W4-S14,TASK-0442,EPIC-142,TODO,P0/P1,P8 Governance and closure,approval/policy/closure/stale,W4-S13,,W4-S13,W4-accepted-gates + semantic MR gate,Implement stale callback rejection and rebase task creation.,capex_v6,active_task,
ARCH-W4-S15,TASK-0443,EPIC-142,TODO,P0/P1,P8 Governance and closure,approval/policy/closure/stale,ClosureSnapshot,,ClosureSnapshot,W4-accepted-gates + semantic MR gate,Implement StaleReopenRuleRegistry schema and action precedence.,capex_v6,active_task,
ARCH-W4-S16,TASK-0444,EPIC-142,TODO,P0/P1,P8 Governance and closure,approval/policy/closure/stale,W4-S15,,W4-S15,W4-accepted-gates + semantic MR gate,Implement stale/reopen evaluator and dependency lookup over closure basis.,capex_v6,active_task,
ARCH-W4-S17,TASK-0445,EPIC-142,TODO,P0/P1,P8 Governance and closure,approval/policy/closure/stale,"W4-S13,W5 later deepening",,"W4-S13,W5 later deepening",W4-accepted-gates + semantic MR gate,Add workpage command envelope validation for closure/reopen/promote commands.,capex_v6,active_task,
ARCH-W4-S18,TASK-0446,EPIC-142,TODO,P0/P1,P8 Governance and closure,approval/policy/closure/stale,W4 schemas,,W4 schemas,W4-accepted-gates + semantic MR gate,Add no-false-closure acceptance matrix.,capex_v6,active_task,
ARCH-W4-S19,TASK-0447,EPIC-142,TODO,P0/P1,P8 Governance and closure,approval/policy/closure/stale,W4 CED approval,,W4 CED approval,W4-accepted-gates + semantic MR gate,Patch architecture docs and code review checklist with W4 governance checks.,capex_v6,active_task,
ARCH-W4-S20,TASK-0448,EPIC-142,TODO,P0/P1,P8 Governance and closure,approval/policy/closure/stale,W4-S03,,W4-S03,W4-accepted-gates + semantic MR gate,Remove/retire any generic approval handler domain side effects after hook registry migration.,capex_v6,active_task,
ARCH-W5-S01,TASK-0449,EPIC-144,TODO,P0/P1,P9 Workpages and projections,workpage/projection/command,"W1,W2",,"W1,W2",W5-accepted-gates + semantic MR gate,Projection table design note and CED approval,capex_v6,active_task,
ARCH-W5-S02,TASK-0450,EPIC-144,TODO,P0/P1,P9 Workpages and projections,workpage/projection/command,W5-S01,,W5-S01,W5-accepted-gates + semantic MR gate,Projection invalidation table migration draft,capex_v6,active_task,
ARCH-W5-S03,TASK-0451,EPIC-144,TODO,P0/P1,P9 Workpages and projections,workpage/projection/command,W5-S02,,W5-S02,W5-accepted-gates + semantic MR gate,Projection snapshot/row schema draft,capex_v6,active_task,
ARCH-W5-S04,TASK-0452,EPIC-144,TODO,P0/P1,P9 Workpages and projections,workpage/projection/command,W5-S02,,W5-S02,W5-accepted-gates + semantic MR gate,Projection job token-guard prototype,capex_v6,active_task,
ARCH-W5-S05,TASK-0453,EPIC-144,TODO,P0/P1,P9 Workpages and projections,workpage/projection/command,W1 authorization,,W1 authorization,W5-accepted-gates + semantic MR gate,Signed cursor codec prototype,capex_v6,active_task,
ARCH-W5-S06,TASK-0454,EPIC-144,TODO,P0/P1,P9 Workpages and projections,workpage/projection/command,W5-S05,,W5-S05,W5-accepted-gates + semantic MR gate,Workpage read API contract,capex_v6,active_task,
ARCH-W5-S07,TASK-0455,EPIC-144,TODO,P0/P1,P9 Workpages and projections,workpage/projection/command,W3 evidence binding,,W3 evidence binding,W5-accepted-gates + semantic MR gate,Batch hydration service skeleton,capex_v6,active_task,
ARCH-W5-S08,TASK-0456,EPIC-144,TODO,P0/P1,P9 Workpages and projections,workpage/projection/command,W5-S03,,W5-S03,W5-accepted-gates + semantic MR gate,Project dashboard projection family,capex_v6,active_task,
ARCH-W5-S09,TASK-0457,EPIC-144,TODO,P0/P1,P9 Workpages and projections,workpage/projection/command,W5-S07,,W5-S07,W5-accepted-gates + semantic MR gate,Artifact packet review projection family,capex_v6,active_task,
ARCH-W5-S10,TASK-0458,EPIC-144,TODO,P0/P1,P9 Workpages and projections,workpage/projection/command,W4,,W4,W5-accepted-gates + semantic MR gate,Flag/task queue projection family,capex_v6,active_task,
ARCH-W5-S11,TASK-0459,EPIC-144,TODO,P0/P1,P9 Workpages and projections,workpage/projection/command,W4,,W4,W5-accepted-gates + semantic MR gate,Approval/waiver queue projection family,capex_v6,active_task,
ARCH-W5-S12,TASK-0460,EPIC-144,TODO,P0/P1,P9 Workpages and projections,workpage/projection/command,W2 command receipt,,W2 command receipt,W5-accepted-gates + semantic MR gate,Workpage command envelope schema,capex_v6,active_task,
ARCH-W5-S13,TASK-0461,EPIC-144,TODO,P0/P1,P9 Workpages and projections,workpage/projection/command,W5-S12,,W5-S12,W5-accepted-gates + semantic MR gate,Command dispatch skeleton,capex_v6,active_task,
ARCH-W5-S14,TASK-0462,EPIC-144,TODO,P0/P1,P9 Workpages and projections,workpage/projection/command,W5-S13,,W5-S13,W5-accepted-gates + semantic MR gate,Stale command rejection tests,capex_v6,active_task,
ARCH-W5-S15,TASK-0463,EPIC-144,TODO,P0/P1,P9 Workpages and projections,workpage/projection/command,W5-S06,,W5-S06,W5-accepted-gates + semantic MR gate,ProjectWorkpageProvider frontend skeleton,capex_v6,active_task,
ARCH-W5-S16,TASK-0464,EPIC-144,TODO,P0/P1,P9 Workpages and projections,workpage/projection/command,W5-S06,,W5-S06,W5-accepted-gates + semantic MR gate,Query performance battery harness,capex_v6,active_task,
ARCH-W5-S17,TASK-0465,EPIC-144,TODO,P0/P1,P9 Workpages and projections,workpage/projection/command,W5-S12,,W5-S12,W5-accepted-gates + semantic MR gate,No generic status command lint/test rule,capex_v6,active_task,
ARCH-W5-S18,TASK-0466,EPIC-144,TODO,P0/P1,P9 Workpages and projections,workpage/projection/command,W5 CEDs,,W5 CEDs,W5-accepted-gates + semantic MR gate,Workpage family registry,capex_v6,active_task,
ARCH-W5-S19,TASK-0467,EPIC-144,TODO,P0/P1,P9 Workpages and projections,workpage/projection/command,W5-S04,,W5-S04,W5-accepted-gates + semantic MR gate,Projection observability/admin view design,capex_v6,active_task,
ARCH-W5-S20,TASK-0468,EPIC-144,TODO,P0/P1,P9 Workpages and projections,workpage/projection/command,W5-S01-S19,,W5-S01-S19,W5-accepted-gates + semantic MR gate,Wave 5 refactor/closeout pass,capex_v6,active_task,
ARCH-W6-SLICE-001,TASK-0469,EPIC-145,TODO,P0,P10 Fixture and AI guardrails,fixture/ai/security,W1-W5 reviewed,,W1-W5 reviewed,W6-accepted-gates + semantic MR gate,Add fixture compiler architecture CED and schema skeletons,capex_v6,active_task,
ARCH-W6-SLICE-002,TASK-0470,EPIC-145,TODO,P0,P10 Fixture and AI guardrails,fixture/ai/security,source occurrence locators,,source occurrence locators,W6-accepted-gates + semantic MR gate,Define capex.sensitivity_manifest.v1 schema,capex_v6,active_task,
ARCH-W6-SLICE-003,TASK-0471,EPIC-145,TODO,P0,P10 Fixture and AI guardrails,fixture/ai/security,sensitivity manifest,,sensitivity manifest,W6-accepted-gates + semantic MR gate,Define capex.redaction_manifest.v1 schema,capex_v6,active_task,
ARCH-W6-SLICE-004,TASK-0472,EPIC-145,TODO,P0,P10 Fixture and AI guardrails,fixture/ai/security,schema skeletons,,schema skeletons,W6-accepted-gates + semantic MR gate,Define approved redaction operator registry,capex_v6,active_task,
ARCH-W6-SLICE-005,TASK-0473,EPIC-145,TODO,P0,P10 Fixture and AI guardrails,fixture/ai/security,module catalog,,module catalog,W6-accepted-gates + semantic MR gate,Define fixture_generation_run and expected_output_manifest schemas,capex_v6,active_task,
ARCH-W6-SLICE-006,TASK-0474,EPIC-145,TODO,P0,P10 Fixture and AI guardrails,fixture/ai/security,scanner wrapper skeleton,,scanner wrapper skeleton,W6-accepted-gates + semantic MR gate,Define leak_scan_report and fixture_release_manifest schemas,capex_v6,active_task,
ARCH-W6-SLICE-007,TASK-0475,EPIC-145,TODO,P0,P10 Fixture and AI guardrails,fixture/ai/security,schemas defined,,schemas defined,W6-accepted-gates + semantic MR gate,"Implement leak-scan wrapper contract, no scanner engine yet",capex_v6,active_task,
