record_type,source_id,name,category,phase,depends_on,status_or_priority,summary,evidence_or_owner,source_lineage,active_disposition,canonical_task_refs
gate,ARCH-W5-G17,Projection admin/observability distinguishes projection health from domain truth.,architecture_sync/W5,P9 Workpages and projections,CED accepted,P0/P1,Projection admin/observability distinguishes projection health from domain truth.,admin UI/API docs,capex_v6,reference,
gate,ARCH-W5-G18,Workpage changes pass Tier 3 review/refactor closeout.,architecture_sync/W5,P9 Workpages and projections,CED accepted,P0/P1,Workpage changes pass Tier 3 review/refactor closeout.,PR checklist + specialist review + docs update,capex_v6,reference,
gate,ARCH-W6-GATE-001,"Raw real-project corpus is stored only in quarantine, outside repo/CI/release bundles.",architecture_sync/W6,P10 Fixture and AI guardrails,CED accepted,P0/P1,"Raw real-project corpus is stored only in quarantine, outside repo/CI/release bundles.",quarantine path policy + release scan,capex_v6,reference,
gate,ARCH-W6-GATE-002,Every released real-derived fixture has sensitivity_manifest.,architecture_sync/W6,P10 Fixture and AI guardrails,CED accepted,P0/P1,Every released real-derived fixture has sensitivity_manifest.,manifest validation,capex_v6,reference,
gate,ARCH-W6-GATE-003,Every must_transform sensitivity finding is resolved in redaction_manifest or approved as allow-listed disposition.,architecture_sync/W6,P10 Fixture and AI guardrails,CED accepted,P0/P1,Every must_transform sensitivity finding is resolved in redaction_manifest or approved as allow-listed disposition.,redaction resolver test,capex_v6,reference,
gate,ARCH-W6-GATE-004,Approved redaction operator registry forbids reversible encryption and implicit defaults for high-risk classes.,architecture_sync/W6,P10 Fixture and AI guardrails,CED accepted,P0/P1,Approved redaction operator registry forbids reversible encryption and implicit defaults for high-risk classes.,registry policy tests,capex_v6,reference,
gate,ARCH-W6-GATE-005,"Fixture generation run pins seed, dates, module hashes, toolchain lock, and output hashes.",architecture_sync/W6,P10 Fixture and AI guardrails,CED accepted,P0/P1,"Fixture generation run pins seed, dates, module hashes, toolchain lock, and output hashes.",generation manifest validation,capex_v6,reference,
gate,ARCH-W6-GATE-006,Expected-output manifest contains no raw excerpts.,architecture_sync/W6,P10 Fixture and AI guardrails,CED accepted,P0/P1,Expected-output manifest contains no raw excerpts.,leak scan + structural assertion review,capex_v6,reference,
gate,ARCH-W6-GATE-007,"Leak scan is fail-closed for source, generated packs, docs, screenshots, logs, archives, and CI outputs.",architecture_sync/W6,P10 Fixture and AI guardrails,CED accepted,P0/P1,"Leak scan is fail-closed for source, generated packs, docs, screenshots, logs, archives, and CI outputs.",leak_scan_report + scanner-error test,capex_v6,reference,
gate,ARCH-W6-GATE-008,Image/OCR coverage is complete or explicitly manually approved.,architecture_sync/W6,P10 Fixture and AI guardrails,CED accepted,P0/P1,Image/OCR coverage is complete or explicitly manually approved.,OCR coverage report + approval,capex_v6,reference,
gate,ARCH-W6-GATE-009,UntrustedDocumentRailBundle missing mandatory rail config fails startup/workflow validation.,architecture_sync/W6,P10 Fixture and AI guardrails,CED accepted,P0/P1,UntrustedDocumentRailBundle missing mandatory rail config fails startup/workflow validation.,config validation test,capex_v6,reference,
gate,ARCH-W6-GATE-010,"Rail pass does not set reviewed, approved, official, or executable state.",architecture_sync/W6,P10 Fixture and AI guardrails,CED accepted,P0/P1,"Rail pass does not set reviewed, approved, official, or executable state.",state transition tests,capex_v6,reference,
gate,ARCH-W6-GATE-011,LLM tool call creates ToolProposal only.,architecture_sync/W6,P10 Fixture and AI guardrails,CED accepted,P0/P1,LLM tool call creates ToolProposal only.,tool-call response test,capex_v6,reference,
gate,ARCH-W6-GATE-012,"ToolExecutionCommand without static registry entry, policy decision, idempotency key, and required approval is rejected.",architecture_sync/W6,P10 Fixture and AI guardrails,CED accepted,P0/P1,"ToolExecutionCommand without static registry entry, policy decision, idempotency key, and required approval is rejected.",guard tests,capex_v6,reference,
gate,ARCH-W6-GATE-013,Tool results re-enter untrusted evidence path and cannot bypass rails.,architecture_sync/W6,P10 Fixture and AI guardrails,CED accepted,P0/P1,Tool results re-enter untrusted evidence path and cannot bypass rails.,tool result ingest tests,capex_v6,reference,
gate,ARCH-W6-GATE-014,AI-generated ArtifactVersion defaults to draft_unreviewed and officialness none.,architecture_sync/W6,P10 Fixture and AI guardrails,CED accepted,P0/P1,AI-generated ArtifactVersion defaults to draft_unreviewed and officialness none.,artifact creation test,capex_v6,reference,
gate,ARCH-W6-GATE-015,Sensitive workflow output is buffered until output rails pass.,architecture_sync/W6,P10 Fixture and AI guardrails,CED accepted,P0/P1,Sensitive workflow output is buffered until output rails pass.,streaming guard test,capex_v6,reference,
gate,ARCH-W6-GATE-016,"Normal logs/traces contain ids, hashes, counts, and redacted snippets only.",architecture_sync/W6,P10 Fixture and AI guardrails,CED accepted,P0/P1,"Normal logs/traces contain ids, hashes, counts, and redacted snippets only.",content-safe telemetry tests,capex_v6,reference,
gate,ARCH-W6-GATE-017,SecurityRailRejection persists redacted audit record for high-risk detections.,architecture_sync/W6,P10 Fixture and AI guardrails,CED accepted,P0/P1,SecurityRailRejection persists redacted audit record for high-risk detections.,rail rejection audit test,capex_v6,reference,
gate,ARCH-W6-GATE-018,Fixture-release and AI guardrail PRs require data-governance/security specialist review.,architecture_sync/W6,P10 Fixture and AI guardrails,CED accepted,P0/P1,Fixture-release and AI guardrail PRs require data-governance/security specialist review.,CODEOWNERS / review checklist,capex_v6,reference,
gate,ARCH-W6-GATE-019,No dynamic action loading from upload/CWD/project config paths.,architecture_sync/W6,P10 Fixture and AI guardrails,CED accepted,P0/P1,No dynamic action loading from upload/CWD/project config paths.,static registry/import-boundary test,capex_v6,reference,
gate,ARCH-W6-GATE-020,K12 fixture release manifest has human release approval before repo/CI admission.,architecture_sync/W6,P10 Fixture and AI guardrails,CED accepted,P0/P1,K12 fixture release manifest has human release approval before repo/CI admission.,fixture_release_manifest approval state,capex_v6,reference,
gate,ARCH-TDD-G01,CAPEX invariant test catalog approved,architecture_sync/W7_5,P0-P12 TDD and agent lab,CED accepted,P0/P1,CAPEX invariant test catalog approved,catalog + review signoff,capex_v6,reference,
gate,ARCH-TDD-G02,Test suite markers and CI stages defined,architecture_sync/W7_5,P0-P12 TDD and agent lab,CED accepted,P0/P1,Test suite markers and CI stages defined,ci config draft + marker docs,capex_v6,reference,
gate,ARCH-TDD-G03,Fixture manifest schemas validate,architecture_sync/W7_5,P0-P12 TDD and agent lab,CED accepted,P0/P1,Fixture manifest schemas validate,schema tests,capex_v6,reference,
gate,ARCH-TDD-G04,K12 source occurrence slice passes,architecture_sync/W7_5,P0-P12 TDD and agent lab,CED accepted,P0/P1,K12 source occurrence slice passes,sanitized fixture + expected outputs,capex_v6,reference,
gate,ARCH-TDD-G05,K12 commitment/assumption/interface tests pass,architecture_sync/W7_5,P0-P12 TDD and agent lab,CED accepted,P0/P1,K12 commitment/assumption/interface tests pass,scenario test results,capex_v6,reference,
gate,ARCH-TDD-G06,K12 no-false-closure tests pass,architecture_sync/W7_5,P0-P12 TDD and agent lab,CED accepted,P0/P1,K12 no-false-closure tests pass,negative tests,capex_v6,reference,
gate,ARCH-TDD-G07,K3 mini-fixture plan and contract tests accepted,architecture_sync/W7_5,P0-P12 TDD and agent lab,CED accepted,P0/P1,K3 mini-fixture plan and contract tests accepted,expected-output catalog,capex_v6,reference,
gate,ARCH-TDD-G08,Validation project blind baseline protocol accepted,architecture_sync/W7_5,P0-P12 TDD and agent lab,CED accepted,P0/P1,Validation project blind baseline protocol accepted,frozen prompt/workflow manifest,capex_v6,reference,
gate,ARCH-TDD-G09,Legacy logistics characterization tests exist,architecture_sync/W7_5,P0-P12 TDD and agent lab,CED accepted,P0/P1,Legacy logistics characterization tests exist,passing characterization suite,capex_v6,reference,
gate,ARCH-TDD-G10,AI-agent task contract schema accepted,architecture_sync/W7_5,P0-P12 TDD and agent lab,CED accepted,P0/P1,AI-agent task contract schema accepted,schema + example tasks,capex_v6,reference,
gate,ARCH-TDD-G11,Agent eval harness produces reproducible run manifests,architecture_sync/W7_5,P0-P12 TDD and agent lab,CED accepted,P0/P1,Agent eval harness produces reproducible run manifests,eval run manifest,capex_v6,reference,
gate,ARCH-TDD-G12,Agent false-closure critical evals have zero critical failures,architecture_sync/W7_5,P0-P12 TDD and agent lab,CED accepted,P0/P1,Agent false-closure critical evals have zero critical failures,eval report,capex_v6,reference,
gate,ARCH-TDD-G13,Raw-data leak evals pass,architecture_sync/W7_5,P0-P12 TDD and agent lab,CED accepted,P0/P1,Raw-data leak evals pass,leak scan report,capex_v6,reference,
gate,ARCH-TDD-G14,Tool-proposal eval tests pass,architecture_sync/W7_5,P0-P12 TDD and agent lab,CED accepted,P0/P1,Tool-proposal eval tests pass,tool proposal guard tests,capex_v6,reference,
gate,ARCH-TDD-G15,Workpage stale-command tests pass,architecture_sync/W7_5,P0-P12 TDD and agent lab,CED accepted,P0/P1,Workpage stale-command tests pass,stale token test results,capex_v6,reference,
gate,ARCH-TDD-G16,Effect-safety crash tests pass,architecture_sync/W7_5,P0-P12 TDD and agent lab,CED accepted,P0/P1,Effect-safety crash tests pass,crash-point test report,capex_v6,reference,
gate,ARCH-TDD-G17,Projection rebuild invariance tests pass,architecture_sync/W7_5,P0-P12 TDD and agent lab,CED accepted,P0/P1,Projection rebuild invariance tests pass,rebuild test outputs,capex_v6,reference,
gate,ARCH-TDD-G18,Synthetic capacity smoke tests pass,architecture_sync/W7_5,P0-P12 TDD and agent lab,CED accepted,P0/P1,Synthetic capacity smoke tests pass,latency and query plan report,capex_v6,reference,
gate,ARCH-TDD-G19,TDD metrics dashboard available,architecture_sync/W7_5,P0-P12 TDD and agent lab,CED accepted,P0/P1,TDD metrics dashboard available,baseline metrics report,capex_v6,reference,
gate,ARCH-TDD-G20,Lab-to-main promotion gate enforced,architecture_sync/W7_5,P0-P12 TDD and agent lab,CED accepted,P0/P1,Lab-to-main promotion gate enforced,promotion gate CI,capex_v6,reference,
gate,ARCH-TDD-G21,Reviewer test-first checklist active,architecture_sync/W7_5,P0-P12 TDD and agent lab,CED accepted,P0/P1,Reviewer test-first checklist active,template + CODEOWNERS mapping,capex_v6,reference,
gate,ARCH-TDD-G22,Flake quarantine policy active,architecture_sync/W7_5,P0-P12 TDD and agent lab,CED accepted,P0/P1,Flake quarantine policy active,owner/expiry quarantine register,capex_v6,reference,
gate,ARCH-W7-GATE-001,Branch class gate,architecture_sync/W7,P2/P11 Release and development governance,CED accepted,P0/P1,Branch class gate,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W7-GATE-002,Release bundle gate,architecture_sync/W7,P2/P11 Release and development governance,CED accepted,P0/P1,Release bundle gate,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W7-GATE-003,PR000-PR007 release stop gate,architecture_sync/W7,P2/P11 Release and development governance,CED accepted,P0/P1,PR000-PR007 release stop gate,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W7-GATE-004,Migration manifest gate,architecture_sync/W7,P2/P11 Release and development governance,CED accepted,P0/P1,Migration manifest gate,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W7-GATE-005,Feature gate default-off gate,architecture_sync/W7,P2/P11 Release and development governance,CED accepted,P0/P1,Feature gate default-off gate,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W7-GATE-006,Activation approval gate,architecture_sync/W7,P2/P11 Release and development governance,CED accepted,P0/P1,Activation approval gate,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W7-GATE-007,Mutation lock gate,architecture_sync/W7,P2/P11 Release and development governance,CED accepted,P0/P1,Mutation lock gate,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W7-GATE-008,Rollback/compensation manifest gate,architecture_sync/W7,P2/P11 Release and development governance,CED accepted,P0/P1,Rollback/compensation manifest gate,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W7-GATE-009,Docs authority metadata gate,architecture_sync/W7,P2/P11 Release and development governance,CED accepted,P0/P1,Docs authority metadata gate,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W7-GATE-010,CED readiness gate,architecture_sync/W7,P2/P11 Release and development governance,CED accepted,P0/P1,CED readiness gate,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W7-GATE-011,Semantic task classification gate,architecture_sync/W7,P2/P11 Release and development governance,CED accepted,P0/P1,Semantic task classification gate,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W7-GATE-012,MR evidence bundle gate,architecture_sync/W7,P2/P11 Release and development governance,CED accepted,P0/P1,MR evidence bundle gate,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W7-GATE-013,Semantic CODEOWNERS gate,architecture_sync/W7,P2/P11 Release and development governance,CED accepted,P0/P1,Semantic CODEOWNERS gate,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W7-GATE-014,Forbidden state transition gate,architecture_sync/W7,P2/P11 Release and development governance,CED accepted,P0/P1,Forbidden state transition gate,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W7-GATE-015,No raw fixture leakage gate,architecture_sync/W7,P2/P11 Release and development governance,CED accepted,P0/P1,No raw fixture leakage gate,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W7-GATE-016,AI advisory-only gate,architecture_sync/W7,P2/P11 Release and development governance,CED accepted,P0/P1,AI advisory-only gate,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W7-GATE-017,Refactor safety gate,architecture_sync/W7,P2/P11 Release and development governance,CED accepted,P0/P1,Refactor safety gate,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W7-GATE-018,Post-deploy smoke gate,architecture_sync/W7,P2/P11 Release and development governance,CED accepted,P0/P1,Post-deploy smoke gate,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W7-GATE-019,Post-activation smoke gate,architecture_sync/W7,P2/P11 Release and development governance,CED accepted,P0/P1,Post-activation smoke gate,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W7-GATE-020,Implementation-history gate,architecture_sync/W7,P2/P11 Release and development governance,CED accepted,P0/P1,Implementation-history gate,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W8-G01,reviewed_state_graph excludes raw files and AI drafts,architecture_sync/W8,P12/P13 Snapshots and external boundary,CED accepted,P0,reviewed_state_graph excludes raw files and AI drafts,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W8-G02,snapshot build reproducibility,architecture_sync/W8,P12/P13 Snapshots and external boundary,CED accepted,P0,snapshot build reproducibility,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W8-G03,snapshot exclusion reasons,architecture_sync/W8,P12/P13 Snapshots and external boundary,CED accepted,P0,snapshot exclusion reasons,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W8-G04,reviewed approved official separation,architecture_sync/W8,P12/P13 Snapshots and external boundary,CED accepted,P0,reviewed approved official separation,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W8-G05,risk signal determinism,architecture_sync/W8,P12/P13 Snapshots and external boundary,CED accepted,P0,risk signal determinism,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W8-G06,CEO snapshot source restriction,architecture_sync/W8,P12/P13 Snapshots and external boundary,CED accepted,P0,CEO snapshot source restriction,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W8-G07,corpus document split,architecture_sync/W8,P12/P13 Snapshots and external boundary,CED accepted,P0,corpus document split,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W8-G08,packet edge semantics,architecture_sync/W8,P12/P13 Snapshots and external boundary,CED accepted,P0,packet edge semantics,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W8-G09,packet completeness blocks promotion,architecture_sync/W8,P12/P13 Snapshots and external boundary,CED accepted,P0,packet completeness blocks promotion,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W8-G10,approval does not promote,architecture_sync/W8,P12/P13 Snapshots and external boundary,CED accepted,P0,approval does not promote,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W8-G11,hold/freeze blocks promotion,architecture_sync/W8,P12/P13 Snapshots and external boundary,CED accepted,P0,hold/freeze blocks promotion,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W8-G12,audit export evidence,architecture_sync/W8,P12/P13 Snapshots and external boundary,CED accepted,P0,audit export evidence,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W8-G13,external binding required,architecture_sync/W8,P12/P13 Snapshots and external boundary,CED accepted,P0,external binding required,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W8-G14,external officialness separation,architecture_sync/W8,P12/P13 Snapshots and external boundary,CED accepted,P0,external officialness separation,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W8-G15,remote 404 preserves history,architecture_sync/W8,P12/P13 Snapshots and external boundary,CED accepted,P0,remote 404 preserves history,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W8-G16,line-item identity preserved,architecture_sync/W8,P12/P13 Snapshots and external boundary,CED accepted,P1,line-item identity preserved,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W8-G17,invoice paid not technical closure,architecture_sync/W8,P12/P13 Snapshots and external boundary,CED accepted,P1,invoice paid not technical closure,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W8-G18,PO closed below 100 percent not scope complete,architecture_sync/W8,P12/P13 Snapshots and external boundary,CED accepted,P1,PO closed below 100 percent not scope complete,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W8-G19,external connector read-only MVP,architecture_sync/W8,P12/P13 Snapshots and external boundary,CED accepted,P1,external connector read-only MVP,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W8-G20,snapshot workpage freshness,architecture_sync/W8,P12/P13 Snapshots and external boundary,CED accepted,P1,snapshot workpage freshness,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,FINAL-FORM-G01,latest_file_not_official,final_formalism_regression,all,MG-001,P0,"No API, workpage, or policy path treats newest file, newest occurrence, or newest artifact version as official without pointer promotion.",negative tests; code review checklist; pointer guard tests,capex_v6,reference,
gate,FINAL-FORM-G02,raw_file_not_evidence_sufficient,final_formalism_regression,all,MG-001,P0,"Raw upload, extraction success, search hit, or retrieval candidate never satisfies evidence sufficiency without reviewed evidence_binding.",evidence binding tests; extraction/search negative tests,capex_v6,reference,
gate,FINAL-FORM-G03,approved_not_official_without_pointer_promotion,final_formalism_regression,all,MG-001,P0,ApprovalResponse and PolicyDecision do not mutate official pointer state except through ArtifactPointerPromotion service.,approval neutrality tests; pointer-promotion transaction tests,capex_v6,reference,
gate,FINAL-FORM-G04,invoice_or_external_paid_not_technical_closure,final_formalism_regression,P12/P13,ARCH-W8-G14,P0,"External payment, ERP invoice status, or expenditure observation cannot close technical, effectiveness, handover, or assumption dimensions.",external observation negative tests; CEO snapshot exclusion tests,capex_v6,reference,
gate,FINAL-FORM-G05,dashboard_visible_not_governed_state,final_formalism_regression,P12/P13,ARCH-W8-G04,P0,CEO dashboard visibility derives only from project_state_snapshot and risk_state_snapshot; raw files and AI summaries cannot directly produce CEO-grade state.,snapshot builder tests; dashboard source tests,capex_v6,reference,
gate,FINAL-FORM-G06,validation_project_blind_holdout_preserved,final_tdd_regression,all,ARCH-TDD-G09,P0,Validation project remains unseen for tuning until blind baseline run and expected-output manifest governance are complete.,validation holdout manifest; blind baseline report,capex_v6,reference,
gate,NU-GATE-001,Approval response is domain-neutral,source-of-truth safety,P1/P2,PR007,P0,approval.respond records only approval response/event; logistics effects are invoked only through domain hook registry,unit test; logistics characterization regression; code review approval,capex_v6,reference,
gate,NU-GATE-002,Artifact/blob download authorizes before read,security,P1/P2,PR002,P0,unauthorized request does not call blob read/storage read function before authorization denial,spy test; cross-scope denial test; security review,capex_v6,reference,
gate,NU-GATE-003,CAPEX project membership enforced server-side,project access,P3,PR007,P0,user sees and mutates only assigned projects and project-scoped artifacts/tasks/pointers,membership tests; unauthorized cross-project tests; route dependency review,capex_v6,reference,
gate,NU-GATE-004,Source occurrence and meaningful SourceRef resolution enforced,evidence integrity,P4/P5,NU-GATE-003,P0,semantic evidence cannot be reviewed/promoted from empty or unresolved sourceRefs,resolver tests; negative schema/policy tests,capex_v6,reference,
gate,NU-GATE-005,Closure/waiver/recurrence semantics enforced,closure safety,P7,NU-GATE-004,P0,absence of contradiction is not closure; waiver is not pass; lifecycle recurrence can stale or reopen state without new document,no-false-closure tests; recurrence tests; waiver scope tests,capex_v6,reference,
gate,NU-GATE-006,Workflow handoff manifest required,workflow family,P6/P7,source occurrence; validation vector,P0,"downstream workflows cannot treat upstream output as current unless handoff manifest binds versions, pointer generations, validation summaries, and stale basis",handoff manifest tests; stale basis rejection tests,capex_v6,reference,
gate,NU-GATE-007,CAPEX workpage commands reject stale projection basis,workpage safety,P8,NU-GATE-004; NU-GATE-005,P0,typed workpage commands include projection token/expected versions and stale commands are rejected with no mutation,stale-command tests; signed cursor tests; command receipt audit,capex_v6,reference,
gate,NU-GATE-008,CAPEX semantic test suite and CODEOWNERS active,quality gate,P0/P1,none,P0,"semantic test markers, missing CAPEX test backlog, and specialist CODEOWNERS are active before source-of-truth PRs merge",CI config; CODEOWNERS; PR template; sample failing tests,capex_v6,reference,
gate,NU-GATE-009,Interface burden cannot disappear,interface governance,P7/P8,NU-GATE-004; NU-GATE-005,P1,"interface obligation is owned, transferred, waived, accepted residual, or open; reassignment creates traceable state",interface register tests; task spawn tests,capex_v6,reference,
gate,NU-GATE-010,Artifact/project transitions are order-sensitive,formalism regression,P6/P7,artifact operator model,P1,same artifacts in different order produce different reviewed/stale/closure state where semantics require it,non-commutative sequence tests,capex_v6,reference,
gate,NU-GATE-011,Procurement/CEO escalation tasks are defined separately from workpages,workflow routing,P8/P9,workflow catalog,P1,work/component/procurement decisions instantiate as task flows with escalation and evidence binding rather than generic editable workpage status,workflow catalog review; SME signoff delta,capex_v6,reference,
gate,V5-GATE-001,approval.respond domain-neutrality enforced,,,,P0,approval.respond records response/event only; domain side effects are registered hooks with tests,approval neutrality tests; side-effect hook design; code review,v5_carried_forward,historical_reference,TASK-0257;TASK-0561
gate,V5-GATE-002,artifact/blob auth-before-read enforced,,,,P0,Unauthorized requests cannot reach blob/content read before project-scoped authorization,spy test proving blob read not called; route refactor,v5_carried_forward,historical_reference,TASK-0235;TASK-0562
gate,V5-GATE-003,Reality vs representation guardrail signed off,,,,P0,"Architecture and sign-off docs explicitly say documents/models are evidence, not reality/project state",architecture patch; SME signoff update,v5_carried_forward,historical_reference,TASK-0447;TASK-0565;TASK-0305
gate,V5-GATE-004,relation_kind vocabulary adopted,,,,P0,Evidence/provenance/workflow relations use canonical relation kinds; ad-hoc strings flagged,catalog row; schema/lint test,v5_carried_forward,historical_reference,TASK-0392;TASK-0373
gate,V5-GATE-005,feasibility-set replacement/waiver path defined,,,,P0,"Replacement/waiver workflow distinguishes direct conformance, validated equivalent, residual risk, open issue",workflow/catalog patch; tests,v5_carried_forward,historical_reference,TASK-0565
gate,V5-GATE-006,no premature RCA closure,,,,P0,Issue/RCA tasks cannot assert single cause without hypothesis/evidence support and unresolved hypothesis state,task contract; acceptance tests,v5_carried_forward,historical_reference,TASK-0305;TASK-0565
gate,V5-GATE-007,SourceRef resolution semantics enforced,,,,P0,SourceRefs are declarations until runtime-resolved; unresolved sourceRefs cannot support official state,sourceRef resolver tests,v5_carried_forward,historical_reference,TASK-0564;TASK-0428
gate,V5-GATE-008,delivery Product Goal and metric stack signed off,,,,P0,"Implementation sequencing must have signed Product Goal, outcome/learning/flow/quality metrics",MASTER_Product_Goal_and_Metrics.md,v5_carried_forward,historical_reference,TASK-0582
gate,V5-GATE-009,vertical slice ladder approved,,,,P0,"First delivery work follows thin vertical slices, not horizontal platform-only batches",Vertical_Slice_Ladder and roadmap update,v5_carried_forward,historical_reference,TASK-0583;TASK-0584
gate,V5-GATE-010,workflow handoff manifest defined,,,,P1,"Workflow transitions bind versions, pointer generations, validation summaries, stale basis, open issues",runtime/catalog patch,v5_carried_forward,historical_reference,TASK-0566
gate,SD-GATE-001,Product Goal and metric stack accepted,delivery-governance,P0,MG-000,P0,"Product Goal, outcome metrics, learning metrics, delivery metrics, and quality guardrails are signed off.",MASTER_Product_Goal_and_Metrics.md; signoff record,capex_v6,reference,
gate,SD-GATE-002,First vertical-slice ladder approved,delivery-governance,P0/P1,SD-GATE-001,P0,VS-00 through VS-05 have entry/exit gates and are mapped to master roadmap.,Vertical_Slice_Ladder.csv; roadmap review,capex_v6,reference,
gate,SD-GATE-003,Dependency register and risk milestones active,dependency-risk,P0/P1,SD-GATE-001,P0,"P0 dependencies have owner, needed-by, mitigation, and risk if late.",MASTER_Dependency_Register.csv; milestone model,capex_v6,reference,
gate,SD-GATE-004,Backlog hierarchy and story templates approved,backlog-quality,P0/P1,SD-GATE-001,P1,"Outcome epics, features, stories, and acceptance criteria templates are defined and non-duplicative with existing master backlog.",Backlog taxonomy guide; templates,capex_v6,reference,
gate,SD-GATE-005,Delivery operating cadence accepted,delivery-governance,P0/P1,SD-GATE-003,P1,"Refinement, three-amigos, risk/dependency review, demo/review, and roadmap refresh cadence is accepted.",MASTER_Delivery_Operating_Cadence.md,capex_v6,reference,
gate,SD-GATE-006,First 90-day overlay reviewed,roadmap,P0/P1,SD-GATE-002;SD-GATE-003,P1,"First-quarter overlay distinguishes blockers, learning slices, first MMF, and roadmap refresh without false precision.",MASTER_First_90_Days_Execution_Overlay.md,capex_v6,reference,
gate,SD-GATE-007,Definition of Ready / Done active,quality,P0/P1,SD-GATE-004,P1,"DoR/DoD exists for architecture, runtime, workpage, fixture, AI lab, migration/release tasks.",DoR/DoD doc; PR template patch,capex_v6,reference,
gate,TP-G01,Real-project quarantine gate,three-project testing,P14A,P0 blocker gates; real-project quarantine policy,P0,"No raw K3/K12/blind data is committed to repo, CI, logs, screenshots, generated packs, or planning task briefs.",all full projects evidence; source traceability; review approval,capex_v6,reference,
gate,TP-G02,K12 fixture compiler gate,three-project testing,P14A,TP-G01,P0,"K12 sanitized slice has raw hash manifest, sensitivity manifest, redaction manifest, expected-output manifest, leak scan, and human release approval.",K12 evidence; source traceability; review approval,capex_v6,reference,
gate,TP-G03,K12 MVP scenario gate,three-project testing,P14A,TP-G01,P1,"K12 sanitized slice passes source occurrence, role assignment, packet, commitment, assumption/interface, blocked pointer, and settlement-not-technical-closure tests.",K12 evidence; source traceability; review approval,capex_v6,reference,
gate,TP-G04,K3 mini-fixture gate,three-project testing,P14A,TP-G01,P1,"K3 mini-fixture passes authority, replacement-measure, operational-control, partial acceptance, lifecycle recurrence, and licensed-reference guard tests.",K3 evidence; source traceability; review approval,capex_v6,reference,
gate,TP-G05,K3 shadow regression gate,three-project testing,P14A,TP-G01,P1,Off-repo K3 shadow run produces a regression report without raw-data leakage and no collapse of authority/lifecycle semantics.,K3 evidence; source traceability; review approval,capex_v6,reference,
gate,TP-G06,Blind freeze gate,three-project testing,P14A,TP-G01,P0,"Before first blind run, runtime rules, prompt versions, retrieval recipe versions, schema versions, tool registry, and evaluator criteria are frozen and signed.",validation project evidence; source traceability; review approval,capex_v6,reference,
gate,TP-G07,Blind baseline gate,three-project testing,P14A,TP-G01,P0,"First blind run records unmodified outputs, errors, unsupported claims, missing evidence recall, false closures, and raw-leakage scan before any tuning.",validation project evidence; source traceability; review approval,capex_v6,reference,
